contin Number,EM series,pre,post   ,type    ,sections   ,partner Number,post1     ,post2   ,post3 ,post4   
2,N2Y,R5AL,R4AR,chemical,1,1,R4AR,,,
4,N2Y,PHCL,"HOA,AVG",chemical,1,2,HOA,AVG,,
5,N2Y,R1BR,"R4AR,R2AR",chemical,1,2,R4AR,R2AR,,
9,N2Y,R9BR,"PVNR,R7shR",chemical,2,2,PVNR,R7shR,,
10,N2Y,R5AR,R6AR,chemical,1,1,R6AR,,,
11,N2Y,R1BR,"R2AR,R2BR",chemical,2,2,R2AR,R2BR,,
13,N2Y,R4AR,unk5288,chemical,3,1,unk5288,,,
14,N2Y,R4AR,"R6AR,R1AR,R4AR",chemical,2,3,R6AR,R1AR,R4AR,
15,N2Y,R4AR,R1AR,chemical,1,1,R1AR,,,
17,N2Y,R4AR,dglR8,chemical,1,1,dglR8,,,
18,N2Y,R4AR,polR,chemical,2,1,polR,,,
19,N2Y,R4AR,"vBWMR22,cdlR",chemical,1,2,vBWMR22,cdlR,,
20,N2Y,R4BR,R3AR,chemical,1,1,R3AR,,,
22,N2Y,R5BR,PHAR,chemical,1,1,PHAR,,,
23,N2Y,R5BR,"R7AR,cdlR",chemical,3,2,R7AR,cdlR,,
24,N2Y,R5BR,cdlR,chemical,1,1,cdlR,,,
26,N2Y,R5BR,vBWMR24,chemical,2,1,vBWMR24,,,
27,N2Y,R5BR,R3AR,chemical,1,1,R3AR,,,
28,N2Y,R5BR,"R2AR,R3BR",chemical,2,2,R2AR,R3BR,,
29,N2Y,R5BR,"R5AR,R3AR",chemical,1,2,R5AR,R3AR,,
30,N2Y,R5AR,vBWMR24,chemical,2,1,vBWMR24,,,
31,N2Y,R3BL,"PVV,PVV",chemical,1,2,PVV,PVV,,
32,N2Y,R3BL,"PVV,EF1",chemical,2,2,PVV,EF1,,
33,N2Y,HOA,"R3BL,PVZ",chemical,2,2,R3BL,PVZ,,
34,N2Y,HOA,"R3BL,PVZ",chemical,2,2,R3BL,PVZ,,
35,N2Y,R3AL,R1AL,chemical,1,1,R1AL,,,
36,N2Y,R5AR,unk5249,chemical,1,1,unk5249,,,
38,N2Y,R6AR,"unk5249,R5AR",chemical,1,2,unk5249,R5AR,,
39,N2Y,R5BR,unk5249,chemical,1,1,unk5249,,,
40,N2Y,R6AR,"R5AR,R5AR",chemical,1,2,R5AR,R5AR,,
41,N2Y,R4AR,R6AR,chemical,1,1,R6AR,,,
42,N2Y,R4BR,R7BR,chemical,1,1,R7BR,,,
45,N2Y,R4BR,R3AR,chemical,3,1,R3AR,,,
46,N2Y,R4BR,R3AR,chemical,1,1,R3AR,,,
47,N2Y,R5BR,"R5AR,R6AR",chemical,1,2,R5AR,R6AR,,
48,N2Y,R4AL,"dglL7,R2AL",chemical,1,2,dglL7,R2AL,,
49,N2Y,R2AL,R4AL,chemical,3,1,R4AL,,,
50,N2Y,R2AL,R4AL,chemical,1,1,R4AL,,,
51,N2Y,R3BL,"PVNL,unk228[EFn],AVFR",chemical,4,3,PVNL,unk228[EFn],AN3b,
52,N2Y,R5AR,"PVV,R6AR",chemical,3,2,PVV,R6AR,,
53,N2Y,R4AL,"R4AR,R5AL",chemical,3,2,R4AR,R5AL,,
54,N2Y,R4AR,"R5BR,HOB",chemical,1,2,R5BR,HOB,,
